Neighborhood,Date,Connections
Charlestown,09/19/2014 12:00:00 AM,57
Charlestown,09/20/2014 12:00:00 AM,40
Charlestown,09/21/2014 12:00:00 AM,39
Charlestown,09/22/2014 12:00:00 AM,47
Charlestown,09/23/2014 12:00:00 AM,57
Charlestown,09/24/2014 12:00:00 AM,64
Charlestown,09/25/2014 12:00:00 AM,58
Charlestown,09/26/2014 12:00:00 AM,72
Charlestown,09/27/2014 12:00:00 AM,35
Charlestown,09/28/2014 12:00:00 AM,31
Charlestown,09/29/2014 12:00:00 AM,68
Charlestown,09/30/2014 12:00:00 AM,49
Charlestown,10/01/2014 12:00:00 AM,38
Charlestown,10/02/2014 12:00:00 AM,57
Charlestown,10/03/2014 12:00:00 AM,64
Charlestown,10/04/2014 12:00:00 AM,33
Charlestown,10/05/2014 12:00:00 AM,34
Charlestown,10/06/2014 12:00:00 AM,36
Charlestown,10/07/2014 12:00:00 AM,40
Charlestown,10/08/2014 12:00:00 AM,40
Charlestown,10/09/2014 12:00:00 AM,60
Charlestown,10/10/2014 12:00:00 AM,43
Charlestown,10/11/2014 12:00:00 AM,26
Charlestown,10/13/2014 12:00:00 AM,28
Charlestown,10/14/2014 12:00:00 AM,59
Charlestown,10/15/2014 12:00:00 AM,62
Charlestown,10/16/2014 12:00:00 AM,54
Charlestown,10/17/2014 12:00:00 AM,58
Charlestown,10/18/2014 12:00:00 AM,39
Charlestown,10/19/2014 12:00:00 AM,30
Charlestown,10/20/2014 12:00:00 AM,36
Charlestown,10/21/2014 12:00:00 AM,33
Charlestown,10/22/2014 12:00:00 AM,41
Charlestown,10/23/2014 12:00:00 AM,36
Charlestown,10/24/2014 12:00:00 AM,44
Charlestown,10/25/2014 12:00:00 AM,29
Charlestown,10/26/2014 12:00:00 AM,26
City Hall Truck,04/28/2014 12:00:00 AM,0
City Hall Truck,04/29/2014 12:00:00 AM,0
City Hall Truck,04/30/2014 12:00:00 AM,0
City Hall Truck,05/01/2014 12:00:00 AM,0
City Hall Truck,05/02/2014 12:00:00 AM,0
City Hall Truck,05/03/2014 12:00:00 AM,0
City Hall Truck,05/04/2014 12:00:00 AM,0
City Hall Truck,05/05/2014 12:00:00 AM,0
City Hall Truck,05/06/2014 12:00:00 AM,0
City Hall Truck,05/07/2014 12:00:00 AM,0
City Hall Truck,05/08/2014 12:00:00 AM,0
City Hall Truck,05/09/2014 12:00:00 AM,0
City Hall Truck,05/10/2014 12:00:00 AM,0
City Hall Truck,05/11/2014 12:00:00 AM,0
City Hall Truck,05/12/2014 12:00:00 AM,0
City Hall Truck,05/13/2014 12:00:00 AM,0
City Hall Truck,05/14/2014 12:00:00 AM,0
City Hall Truck,05/15/2014 12:00:00 AM,0
City Hall Truck,05/16/2014 12:00:00 AM,0
City Hall Truck,05/17/2014 12:00:00 AM,0
City Hall Truck,05/18/2014 12:00:00 AM,0
City Hall Truck,05/19/2014 12:00:00 AM,0
City Hall Truck,05/20/2014 12:00:00 AM,0
City Hall Truck,05/21/2014 12:00:00 AM,0
City Hall Truck,05/22/2014 12:00:00 AM,0
City Hall Truck,05/23/2014 12:00:00 AM,0
City Hall Truck,05/24/2014 12:00:00 AM,0
City Hall Truck,05/25/2014 12:00:00 AM,0
City Hall Truck,05/26/2014 12:00:00 AM,0
City Hall Truck,05/27/2014 12:00:00 AM,0
City Hall Truck,05/28/2014 12:00:00 AM,0
City Hall Truck,05/29/2014 12:00:00 AM,0
City Hall Truck,05/30/2014 12:00:00 AM,0
City Hall Truck,05/31/2014 12:00:00 AM,0
City Hall Truck,06/01/2014 12:00:00 AM,0
City Hall Truck,06/02/2014 12:00:00 AM,0
City Hall Truck,06/03/2014 12:00:00 AM,0
City Hall Truck,06/04/2014 12:00:00 AM,0
City Hall Truck,06/05/2014 12:00:00 AM,0
City Hall Truck,06/06/2014 12:00:00 AM,0
Roxbury,09/17/2014 12:00:00 AM,1474
Roxbury,09/18/2014 12:00:00 AM,1476
Roxbury,09/19/2014 12:00:00 AM,1599
Roxbury,09/20/2014 12:00:00 AM,1282
Roxbury,09/21/2014 12:00:00 AM,1103
Roxbury,09/22/2014 12:00:00 AM,1456
Roxbury,09/23/2014 12:00:00 AM,1499
Roxbury,09/24/2014 12:00:00 AM,1582
Roxbury,09/25/2014 12:00:00 AM,1446
Roxbury,09/26/2014 12:00:00 AM,1686
Roxbury,09/27/2014 12:00:00 AM,1347
Roxbury,09/28/2014 12:00:00 AM,1322
Roxbury,09/29/2014 12:00:00 AM,1558
Roxbury,09/30/2014 12:00:00 AM,1432
Roxbury,10/01/2014 12:00:00 AM,1440
Roxbury,10/02/2014 12:00:00 AM,1456
Roxbury,10/03/2014 12:00:00 AM,1554
Roxbury,10/04/2014 12:00:00 AM,1175
Roxbury,10/05/2014 12:00:00 AM,1044
Roxbury,10/06/2014 12:00:00 AM,1420
Roxbury,10/07/2014 12:00:00 AM,1386
Roxbury,10/08/2014 12:00:00 AM,1187
Roxbury,10/09/2014 12:00:00 AM,1560
Roxbury,10/10/2014 12:00:00 AM,1510
Roxbury,10/11/2014 12:00:00 AM,1117
Roxbury,10/12/2014 12:00:00 AM,975
Roxbury,10/13/2014 12:00:00 AM,1021
Roxbury,10/14/2014 12:00:00 AM,1388
Roxbury,10/15/2014 12:00:00 AM,1420
Roxbury,10/16/2014 12:00:00 AM,1396
Roxbury,10/17/2014 12:00:00 AM,1552
Roxbury,10/18/2014 12:00:00 AM,1187
Roxbury,10/19/2014 12:00:00 AM,1043
Roxbury,10/20/2014 12:00:00 AM,1390
Roxbury,10/21/2014 12:00:00 AM,1378
Roxbury,10/22/2014 12:00:00 AM,1303
Roxbury,10/23/2014 12:00:00 AM,1322
Roxbury,10/24/2014 12:00:00 AM,1520
Roxbury,10/25/2014 12:00:00 AM,1269
Roxbury,10/26/2014 12:00:00 AM,1133
Roslindale,04/28/2014 12:00:00 AM,0
Roslindale,04/29/2014 12:00:00 AM,0
Roslindale,04/30/2014 12:00:00 AM,0
Roslindale,05/01/2014 12:00:00 AM,0
Roslindale,05/02/2014 12:00:00 AM,0
Roslindale,05/03/2014 12:00:00 AM,0
Roslindale,05/04/2014 12:00:00 AM,0
Roslindale,05/05/2014 12:00:00 AM,0
Roslindale,05/06/2014 12:00:00 AM,0
Roslindale,05/07/2014 12:00:00 AM,0
Roslindale,05/08/2014 12:00:00 AM,48
Roslindale,05/09/2014 12:00:00 AM,110
Roslindale,05/10/2014 12:00:00 AM,119
Roslindale,05/11/2014 12:00:00 AM,111
Roslindale,05/12/2014 12:00:00 AM,146
Roslindale,05/13/2014 12:00:00 AM,160
Roslindale,05/14/2014 12:00:00 AM,160
Roslindale,05/15/2014 12:00:00 AM,188
Roslindale,05/16/2014 12:00:00 AM,190
Roslindale,05/17/2014 12:00:00 AM,133
Roslindale,05/18/2014 12:00:00 AM,105
Roslindale,05/19/2014 12:00:00 AM,175
Roslindale,05/20/2014 12:00:00 AM,185
Roslindale,05/21/2014 12:00:00 AM,213
Roslindale,05/22/2014 12:00:00 AM,230
Roslindale,05/23/2014 12:00:00 AM,226
Roslindale,05/24/2014 12:00:00 AM,197
Roslindale,05/25/2014 12:00:00 AM,168
Roslindale,05/26/2014 12:00:00 AM,136
Roslindale,05/27/2014 12:00:00 AM,235
